2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1153,1275,1900,1884,2261,2146,1546,1823,1935,1506,1554,1573
939,1451,1480,1699,1844,1843,1509,1356,1411,1656,1157,1171
1271,1542,1921,2207,2044,2308,1802,1946,2164,1912,1804,1741
1296,1746,2109,2146,2355,2270,1888,2026,2096,1792,1663,1771
1347,1863,2250,2216,2400,2510,1974,2273,2100,1873,1815,1795
1288,1762,2124,2168,2441,2474,1818,2057,1969,1680,1631,1754
1350,1789,2154,2297,2401,2283,1882,2044,1989,1755,1681,1752
1362,1797,2054,2274,2366,2140,1877,1978,1909,1725,1769,1772
1309,1753,2171,2128,2252,2028,1923,1882,1882,1918,1707,1807
1351,1897,2228,2057,2232,2028,1819,1909,1963,1798,1709,1819
1171,1882,2167,1984,2311,1765,1674,1971,1732,1677,1871,1769
1626,2092,2005,2246,2166,1870,1807,1798,1779,1617,1835,1716
